name,image1,image2,price,link,product_type
BulBul Hazel Blue Embellished Solid Cotton Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC00034copy.jpg?v=1750837763&width=533,https://bulbulfashions.com/cdn/shop/files/DSC00049copy.jpg?v=1750837764&width=533,"₹1,599INR",https://bulbulfashions.com/products/bulbul-hazel-blue-embellished-solid-cotton-kurta-set,dresses
BulBul Hazel Blue Embroidered Solid Cotton Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC00094copy.jpg?v=1750837786&width=533,https://bulbulfashions.com/cdn/shop/files/DSC00092copy.jpg?v=1750837788&width=533,"₹1,599INR",https://bulbulfashions.com/products/bulbul-hazel-blue-embroidered-solid-cotton-kurta-set,dresses
BulBul Hazel Green Embroidered Solid Cotton Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC00075copy.jpg?v=1750837779&width=533,https://bulbulfashions.com/cdn/shop/files/DSC00071copy.jpg?v=1750837780&width=533,"₹1,599INR",https://bulbulfashions.com/products/bulbul-hazel-green-embroidered-solid-cotton-kurta-set,dresses
BulBul Hazel Purple Embroidered Cotton Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC00108copy.jpg?v=1750837802&width=533,https://bulbulfashions.com/cdn/shop/files/DSC00107copy.jpg?v=1750837803&width=533,"₹1,599INR",https://bulbulfashions.com/products/bulbul-hazel-purple-embroidered-cotton-kurta-set,dresses
BulBul Hazel Green Embroidered Cotton Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC00133copy.jpg?v=1750837794&width=533,https://bulbulfashions.com/cdn/shop/files/DSC00128copy.jpg?v=1750837795&width=533,"₹1,599INR",https://bulbulfashions.com/products/bulbul-hazel-green-embroidered-cotton-kurta-set,dresses
BulBul Hazel Purple Floral Cotton Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC09936copy.jpg?v=1750837818&width=533,https://bulbulfashions.com/cdn/shop/files/DSC09938copy.jpg?v=1750837819&width=533,"₹1,599INR",https://bulbulfashions.com/products/bulbul-hazel-purple-floral-cotton-kurta-set,dresses
BulBul Hazel Pink Floral Cotton Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC09979copy.jpg?v=1750837809&width=533,https://bulbulfashions.com/cdn/shop/files/DSC09977copy.jpg?v=1750837811&width=533,"₹1,599INR",https://bulbulfashions.com/products/bulbul-hazel-pink-floral-cotton-kurta-set,dresses
BulBul Hazel Purple Floral Printed Cotton Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC00002.jpg?v=1750837835&width=533,https://bulbulfashions.com/cdn/shop/files/DSC00001.jpg?v=1750837836&width=533,"₹1,599INR",https://bulbulfashions.com/products/bulbul-hazel-purple-floral-printed-cotton-kurta-set,dresses
BulBul Hazel Pink Floral Printed Cotton Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC00015copy.jpg?v=1750837827&width=533,https://bulbulfashions.com/cdn/shop/files/DSC00012copy.jpg?v=1750837828&width=533,"₹1,599INR",https://bulbulfashions.com/products/bulbul-hazel-pink-floral-printed-cotton-kurta-set,dresses
Reeva Silk Lavender Kurta Set,https://bulbulfashions.com/cdn/shop/files/27.jpg?v=1750837305&width=533,https://bulbulfashions.com/cdn/shop/files/26.jpg?v=1750837306&width=533,"₹2,299INR",https://bulbulfashions.com/products/reeva-lavender-kurta-set,dresses
