name,image1,image2,price,link
Ajrakh Modal Silk Saree,//bijoi.in/cdn/shop/files/D98AAC79-F343-479F-852C-915CE96EA2FF.jpg?v=1759764694&width=533,//bijoi.in/cdn/shop/files/396C6E36-62F6-4747-9F48-62EAA192EB41.jpg?v=1759764694&width=533,"RS. 5,900.00",https://bijoi.in/products/ajrakh-modal-silk-saree-28
Ajrakh Chanderi Silk Saree,//bijoi.in/cdn/shop/files/64F28CCD-6A96-45CE-BCFB-B4339C9DDF42.jpg?v=1759764632&width=533,//bijoi.in/cdn/shop/files/71B99C42-FC43-40D5-AFAD-A3C96216EC0A.jpg?v=1759764633&width=533,"RS. 5,400.00",https://bijoi.in/products/ajrakh-chanderi-silk-saree-2
Ajrakh Modal Silk Saree,//bijoi.in/cdn/shop/files/IMG_2611.jpg?v=1750939292&width=533,//bijoi.in/cdn/shop/files/IMG_2610.jpg?v=1750939292&width=533,"RS. 5,900.00",https://bijoi.in/products/ajrakh-modal-silk-saree-16
Ajrakh Modal Silk Saree,//bijoi.in/cdn/shop/files/33B0CC8A-1471-48C3-9DE2-0ACA64B2EA9D.jpg?v=1744376868&width=533,//bijoi.in/cdn/shop/files/C7E5A335-C02E-4BD0-83D1-81E022334842.jpg?v=1744376868&width=533,"RS. 5,900.00",https://bijoi.in/products/ajrakh-modal-silk-saree-13
Ajrakh Modal Silk Saree,//bijoi.in/cdn/shop/files/92020AB4-B871-4D45-B40E-C28A9C5428E1.jpg?v=1759760326&width=533,//bijoi.in/cdn/shop/files/EA7A213E-CB02-448C-BE8C-AB0833240A8D.jpg?v=1759760326&width=533,"RS. 5,900.00",https://bijoi.in/products/ajrakh-modal-silk-saree-25
Ajrakh Modal Silk Saree,//bijoi.in/cdn/shop/files/740B02A2-9D58-42A3-A580-82166D3F3667.jpg?v=1759688024&width=533,//bijoi.in/cdn/shop/files/16D96D67-A474-4280-B229-38B3087FBC17.jpg?v=1759688024&width=533,"RS. 5,900.00",https://bijoi.in/products/ajrakh-modal-silk-saree-24
Ajrakh Modal Silk Saree,//bijoi.in/cdn/shop/files/C6F08604-A129-4738-A6CD-BAA5C811A289.jpg?v=1759760378&width=533,//bijoi.in/cdn/shop/files/B25BE0DD-9E21-40E3-A78C-50366FCB53EA.jpg?v=1759760378&width=533,"RS. 5,900.00",https://bijoi.in/products/ajrakh-modal-silk-saree-26
Ajrakh Modal Silk Saree,//bijoi.in/cdn/shop/files/7DAF0E8A-F0C7-4201-8491-79EDA2C67A5B.jpg?v=1759599948&width=533,//bijoi.in/cdn/shop/files/50DD937D-7242-4DA9-A099-17A5CBA89B56.jpg?v=1759599949&width=533,"RS. 5,900.00",https://bijoi.in/products/ajrakh-modal-silk-saree-18
AJRAKH MODAL SILK SAREE,//bijoi.in/cdn/shop/files/IMG_2086_1.jpg?v=1714196361&width=533,//bijoi.in/cdn/shop/files/ConvertOut-Resized-IMG_4833.jpg?v=1714196361&width=533,"RS. 6,400.00",https://bijoi.in/products/ajrakh-silk-saree-3
AJRAKH MODAL SILK SAREE,//bijoi.in/cdn/shop/files/IMG_3092.jpg?v=1694734108&width=533,//bijoi.in/cdn/shop/files/IMG_3094.jpg?v=1694734108&width=533,"RS. 5,900.00",https://bijoi.in/products/ajrakh-saree-8
