name,image,price,product_link,product_type
Straight Fit Vintage Wash Crosshatch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1699M_Y4_X_EC_0","₹1,749.00",/straight-fit-vintage-wash-crosshatch-jeans/p/P60723557.html,jeans
Slim Fit 360 Flex Stretch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1395S_E4_X_EC_90","₹1,999.00",/slim-fit-360-flex-stretch-jeans/p/P60685381.html,jeans
The Ultimate Regular Fit Chinos,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_6075M_F3_X_EC_90","₹2,399.00",/the-ultimate-regular-fit-chinos/p/P60684250.html,jeans
Slim Fit Vintage Wash Stretch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1663S_Y0_X_EC_90","₹1,749.00",/slim-fit-vintage-wash-stretch-jeans/p/P60581337.html,jeans
Regular Fit Super Lightweight Chino Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_6017M_BE_X_EC_0",₹999.00,/regular-fit-super-lightweight-chino-shorts/p/P60714850.html,jeans
Cotton Linen Blend Elasticated Waist Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1508M_F3_X_EC_0","₹1,249.00",/cotton-linen-blend-elasticated-waist-shorts/p/P60723252.html,jeans
Regular Fit Cotton Linen Blend Chino Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1506M_WR_X_EC_0","₹1,499.00",/regular-fit-cotton-linen-blend-chino-shorts/p/P60722943.html,jeans
Pure Cotton Striped Shorter Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_2015M_E4_X_EC_0","₹1,249.00",/pure-cotton-striped-shorter-shorts/p/P60723161.html,jeans
Slim Fit Soft Touch 5 Pocket Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1267S_Y0_X_EC_0","₹2,249.00",/slim-fit-soft-touch-5-pocket-jeans/p/P60685512.html,jeans
Straight Fit Stretch Cargo Short,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_5104M_MY_X_EC_0","₹1,499.00",/straight-fit-stretch-cargo-short/p/P60715117.html,jeans
Tapered Fit Stretch Cargo Trousers,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_6104T_QG_X_EC_0","₹1,749.00",/tapered-fit-stretch-cargo-trousers/p/P60685628.html,jeans
Regular Fit Twill Chinos,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_6303M_Y0_X_EC_0","₹2,399.00",/regular-fit-twill-chinos/p/P60692957.html,jeans
Regular Fit Super Lightweight Chinos,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_6006M_W2_X_EC_0","₹2,249.00",/regular-fit-super-lightweight-chinos/p/P60714999.html,jeans
The Ultimate Slim Fit Twill Chinos,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_6075S_Y0_X_EC_0","₹1,399.00",/the-ultimate-slim-fit-twill-chinos/p/P60684998.html,jeans
