name,image,price
Pure Cotton Printed Embroidered Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_1669C_J4_X_EC_0",₹690.00
Pure Cotton Printed Sweatshirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_6900C_F4_X_EC_0","₹1,690.00"
Jersey Ribbed Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_0052J_Y0_X_EC_0","₹1,490.00"
Pure Cotton Embroidered Angel Sleeve Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_1779C_Y0_X_EC_0",₹590.00
Pure Cotton Printed Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_7911C_KA_X_EC_0",₹590.00
Cotton Blend Checked Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3292_J4_X_EC_0","₹1,190.00"
Jersey Textured Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3568_MU_X_EC_0",₹990.00
Cotton Rich V-Neck Printed Longline T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_6719_J4_X_EC_0",₹490.00
Cotton Rich Ribbed Henley Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_2565C_Y0_X_EC_0",₹790.00
Cotton Rich Half Sleeves Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/OD_01_T43_1906K_AW_X_EC_0",₹990.00
V-Neck Frill Detail Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3805_Y0_X_EC_0",₹990.00
Pure Cotton V-Neck Textured Cami Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_7037W_J0_X_EC_0",₹790.00
Sparkly Crew Neck Knitted Vest,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_5757_XJ_X_EC_0",₹990.00
Linen Blend Crew Neck Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_1090C_E5_X_EC_0",₹890.00
Scoop Neck Ruched Back Yoga Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T51_5770_LO_X_EC_0",₹790.00
Square Neck Puff Sleeve Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_6948W_VB_X_EC_0",₹990.00
Linen Blend Striped V-Neck Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_7151C_D4_X_EC_0",₹690.00
Pure Cotton Broderie Detail Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_2244C_Z0_X_EC_0",₹990.00
Pure Cotton Embroidered Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T50_2287T_R5_X_EC_0","₹2,990.00"
Printed Ribbed Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3854_Y4_X_EC_0","₹1,490.00"
Jersey Striped Scoop Neck Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T50_1182T_XG_X_EC_0","₹1,190.00"
Printed V-Neck Blouson Sleeve Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T53_2544U_Y4_X_EC_0","₹1,990.00"
Linen Rich Striped Square Neck Cami Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3585_E4_X_EC_0","₹1,190.00"
Cotton Modal Ruched Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_2369C_VI_X_EC_0",₹740.00
Scoop Neck Open Back Relaxed Yoga Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T51_5335_V5_X_EC_0",₹790.00
Plisse Vest Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T50_2198T_FD_X_EC_0","₹2,490.00"
Off The Shoulder Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_1770_Y0_X_EC_0","₹1,190.00"
Linen Blend Printed Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_1091C_Z4_X_EC_90",₹890.00
Relaxed Round Neck Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3859_Y0_X_EC_0","₹1,390.00"
Jersey Embroidered Regular Fit Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_7962_F0_X_EC_0",₹990.00
Linen Blend Cami Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3595_W7_X_EC_0","₹1,190.00"
Cotton Blend Striped Rugby Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_3950C_T4_X_EC_0","₹1,390.00"
Linen Blend Striped Collared Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_1334C_Z4_X_EC_0","₹1,190.00"
Jersey Lace Insert Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3644_E0_X_EC_0","₹1,190.00"
Scoop Neck Cross Back Strappy Crop Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T51_5307_Y0_X_EC_0",₹790.00
V-Neck Waisted Cami Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3650_A0_X_EC_0","₹1,690.00"
Rib Funnel Neck Crop Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T51_5967_D0_X_EC_0",₹990.00
Ribbed Funnel Neck Split Hem Knitted Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T50_5311T_KY_X_EC_0","₹2,190.00"
Linen Rich Checked Crop Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3554_E4_X_EC_0","₹1,690.00"
Round Neck Shirred Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_2300_Y0_X_EC_0","₹1,490.00"
Floral Round Neck Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_0045E_J4_X_EC_0","₹1,190.00"
Embellished Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3853_XX_X_EC_0","₹2,790.00"
Cotton Rich Funnel Neck Slim Fit Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_1560_P6_X_EC_0",₹790.00
Ribbed Crew Neck Knitted Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_5076_QU_X_EC_0",₹790.00
Pure Cotton Long Sleeve V-Neck Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_2968_P6_X_EC_0",₹590.00
V-Neck Button Detail Blouson Sleeve Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3940_XW_X_EC_0",₹990.00
