name,image,price,product_link,product_type
Pure Cotton Crew Neck Boxy T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_7147_Y0_X_EC_0",₹999.00,/pure-cotton-crew-neck-boxy-t-shirt/p/P60713032.html,tops
Linen Rich Printed Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_6164_M7_X_EC_0","₹1,799.40",/linen-rich-printed-blouse/p/P60721771.html,tops
Pure Cotton Slim Fit Crop T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_7738_KP_X_EC_0",₹999.00,/pure-cotton-slim-fit-crop-t-shirt/p/P60724891.html?dwvar_P60724891_color=KP,tops
Pure Cotton Jersey Smocked Puff Sleeve Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_2204C_F0_X_EC_0","₹2,999.00",/pure-cotton-jersey-smocked-puff-sleeve-top/p/P60723170.html,tops
Pure Cotton Striped Everyday Fit T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_7391_Z4_X_EC_0",₹999.00,/pure-cotton-striped-everyday-fit-t-shirt/p/P60582528.html,tops
Cotton Rich Textured Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_2120C_XW_X_EC_0","₹1,199.40",/cotton-rich-textured-top/p/P60710169.html,tops
Cosy Textured Crew Neck Sweat-shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_3966C_KY_X_EC_0","₹3,499.00",/cosy-textured-crew-neck-sweat-shirt/p/P60678821.html,tops
Textured Whipstitch Knitted Vest Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_0220_K4_X_EC_0","₹3,999.00",/textured-whipstitch-knitted-vest-top/p/P60708801.html,tops
Lyocell Rich Floral Bubble Hem Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_3059W_Y8_X_EC_0","₹2,099.40",/lyocell-rich-floral-bubble-hem-blouse/p/P60723381.html,tops
Cosy Funnel Neck Slim Fit Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_3901_XP_X_EC_0","₹1,405.31",/cosy-funnel-neck-slim-fit-top/p/P60695290.html,tops
Keyhole Cosy Flute Sleeves Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_3216E_DF_X_EC_0","₹1,499.40",/keyhole-cosy-flute-sleeves-top/p/P60747526.html,tops
